A Lưới,Thừa Thiên-Huế
An Biên,Kiên Giang
An Dương,Hải Phòng
An Khê,Gia Lai
An Lão, Hải Phòng,Hải Phòng
An Lão, Bình Định,Bình Định
An Minh,Kiên Giang
An Nhơn,Bình Định
An Phú,An Giang
Anh Sơn,Nghệ An
Ayun Pa,Gia Lai
Ân Thi,Hưng Yên
Ba Bể (huyện),Bắc Kạn
Ba Chẽ,Quảng Ninh
Ba Đình,Hà Nội
Ba Đồn,Quảng Bình
Ba Tơ,Quảng Ngãi
Ba Tri,Bến Tre
Ba Vì,Hà Nội
Bà Rịa, Vũng Tàu 
Bá Thước,Thanh Hóa
Bác Ái,Ninh Thuận
Bạch Long Vĩ,Hải Phòng
Bạch Thông,Bắc Kạn
Bảo Lạc,Cao Bằng
Bảo Thắng,Lào Cai
Bảo Yên,Lào Cai
Bát Xát,Lào Cai
Bàu Bàng,Bình Dương
Bắc Bình,Bình Thuận
Bắc Giang (thành phố),Bắc Giang
Bắc Hà (huyện),Lào Cai
Bắc Kạn (thành phố),Bắc Kạn
Bắc Mê,Hà Giang
Bắc Ninh (thành phố),Bắc Ninh
Bắc Quang,Hà Giang
Bắc Sơn,Lạng Sơn
Bắc Tân Uyên,Bình Dương
Bắc Trà My,Quảng Nam
Bắc Từ Liêm,Hà Nội
Bắc Yên (huyện),Sơn La
Bến Cát,Bình Dương
Bến Cầu,Tây Ninh
Bến Lức,Long An
Bến Tre (thành phố),Bến Tre
Biên Hòa,Đồng Nai
Bỉm Sơn,Thanh Hóa
Bình Chánh,Thành phố Hồ Chí Minh
Bình Đại,Bến Tre
Bình Gia,Lạng Sơn
Bình Giang,Hải Dương
Bình Liêu,Quảng Ninh
Bình Long,Bình Phước
Bình Lục,Hà Nam
Bình Minh,Vĩnh Long
Bình Sơn,Quảng Ngãi
Bình Tân (quận),Thành phố Hồ Chí Minh
Bình Tân (huyện),Vĩnh Long
Bình Thạnh,Thành phố Hồ Chí Minh
Bình Thủy,Cần Thơ
Bình Xuyên,Vĩnh Phúc
Bố Trạch,Quảng Bình
Bù Đăng,Bình Phước
Bù Đốp,Bình Phước
Bù Gia Mập,Bình Phước
Buôn Đôn,Đắk Lắk
Buôn Hồ,Đắk Lắk
Buôn Ma Thuột,Đắk Lắk
Cà Mau (thành phố),Cà Mau
Cai Lậy (huyện),Tiền Giang
Cai Lậy (thị xã),Tiền Giang
Cái Bè,Tiền Giang
Cái Nước,Cà Mau
Cái Răng,Cần Thơ
Cam Lâm,Khánh Hòa
Cam Lộ,Quảng Trị
Cam Ranh,Khánh Hòa
Can Lộc,Hà Tĩnh
Càng Long,Trà Vinh
Cao Bằng (thành phố),Cao Bằng
Cao Lãnh (thành phố),Đồng Tháp
Cao Lãnh (huyện),Đồng Tháp
Cao Lộc,Lạng Sơn
Cao Phong,Hòa Bình
Cát Hải,Hải Phòng
Cát Tiên,Lâm Đồng
Cẩm Giàng,Hải Dương
Cẩm Khê,Phú Thọ
Cẩm Lệ,Đà Nẵng
Cẩm Mỹ,Đồng Nai
Cẩm Phả,Quảng Ninh
Cẩm Thủy,Thanh Hóa
Cẩm Xuyên,Hà Tĩnh
Cần Đước,Long An
Cần Giờ,Thành phố Hồ Chí Minh
Cần Giuộc,Long An
Cầu Giấy,Hà Nội
Cầu Kè,Trà Vinh
Cầu Ngang,Trà Vinh
Châu Đốc,An Giang
Châu Đức,Bà Rịa-Vũng Tàu
Châu Phú,An Giang
Châu Thành, An Giang,An Giang
Châu Thành, Bến Tre,Bến Tre
Châu Thành, Đồng Tháp,Đồng Tháp
Châu Thành, Hậu Giang,Hậu Giang
Châu Thành, Kiên Giang,Kiên Giang
Châu Thành, Long An,Long An
Châu Thành, Sóc Trăng,Sóc Trăng
Châu Thành, Tây Ninh,Tây Ninh
Châu Thành, Tiền Giang,Tiền Giang
Châu Thành, Trà Vinh,Trà Vinh
Châu Thành A,Hậu Giang
Chi Lăng,Lạng Sơn
Chí Linh,Hải Dương
Chiêm Hóa,Tuyên Quang
Chợ Đồn,Bắc Kạn
Chợ Gạo,Tiền Giang
Chợ Lách,Bến Tre
Chợ Mới, Bắc Kạn,Bắc Kạn
Chợ Mới, An Giang,An Giang
Chơn Thành,Bình Phước
Chư Păh,Gia Lai
Chư Prông,Gia Lai
Chư Pưh,Gia Lai
Chư Sê,Gia Lai
Chương Mỹ,Hà Nội
Con Cuông,Nghệ An
Cô Tô,Quảng Ninh
Côn Đảo,Bà Rịa-Vũng Tàu
Cồn Cỏ,Quảng Trị
Cờ Đỏ,Cần Thơ
Cù Lao Dung,Sóc Trăng
Củ Chi,Thành phố Hồ Chí Minh
Cư Kuin 
Cư Jút,Đăk Nông
Cư M'gar,Đắk Lắk
Cửa Lò,Nghệ An
Dầu Tiếng,Bình Dương
Di Linh,Lâm Đồng
Dĩ An,Bình Dương
Diên Khánh,Khánh Hòa
Diễn Châu,Nghệ An
Duy Tiên,Hà Nam
Duy Xuyên,Quảng Nam
Duyên Hải (thị xã),Trà Vinh
Duyên Hải (huyện),Trà Vinh
Dương Kinh,Hải Phòng
Dương Minh Châu (huyện),Tây Ninh
Đakrông,Quảng Trị
Đà Bắc,Hòa Bình
Đà Lạt,Lâm Đồng
Đạ Huoai,Lâm Đồng
Đạ Tẻh,Lâm Đồng
Đại Lộc,Quảng Nam
Đại Từ,Thái Nguyên
Đắk Đoa,Gia Lai
Đak Pơ,Gia Lai
Đan Phượng,Hà Nội
Đắk Glei,Kon Tum
Đắk Glong,Đăk Nông
Đắk Hà,Kon Tum
Đắk Mil,Đăk Nông
Đắk R'lấp,Đăk Nông
Đắk Song,Đăk Nông
Đắk Tô,Kon Tum
Đầm Dơi,Cà Mau
Đầm Hà,Quảng Ninh
Đam Rông,Lâm Đồng
Đất Đỏ,Bà Rịa-Vũng Tàu
Điện Bàn,Quảng Nam
Điện Biên (huyện),Điện Biên
Điện Biên Đông,Điện Biên
Điện Biên Phủ,Điện Biên
Đình Lập,Lạng Sơn
Định Hóa,Thái Nguyên
Định Quán,Đồng Nai
Đoan Hùng,Phú Thọ
Đô Lương,Nghệ An
Đồ Sơn,Hải Phòng
Đông Anh,Hà Nội
Đông Giang,Quảng Nam
Đông Hà,Quảng Trị
Đông Hải (huyện),Bạc Liêu
Đông Hòa,Phú Yên
Đông Hưng,Thái Bình
Đông Sơn,Thanh Hóa
Đông Triều,Quảng Ninh
Đồng Hới,Quảng Bình
Đồng Hỷ,Thái Nguyên
Đồng Phú,Bình Phước
Đồng Văn,Hà Giang
Đồng Xoài,Bình Phước
Đồng Xuân,Phú Yên
Đống Đa,Hà Nội
Đơn Dương,Lâm Đồng
Đức Cơ,Gia Lai
Đức Hòa,Long An
Đức Huệ,Long An
Đức Linh,Bình Thuận
Đức Phổ,Quảng Ngãi
Đức Thọ,Hà Tĩnh
Đức Trọng,Lâm Đồng
Ea H'leo,Đắk Lắk
Ea Kar,Đắk Lắk
Ea Súp,Đắk Lắk
Gia Bình,Bắc Ninh
Gia Lâm,Hà Nội
Gia Lộc,Hải Dương
Gia Nghĩa,Đăk Nông
Gia Viễn,Ninh Bình
Giá Rai,Bạc Liêu
Giang Thành,Kiên Giang
Giao Thủy,Nam Định
Gio Linh,Quảng Trị
Giồng Riềng,Kiên Giang
Giồng Trôm,Bến Tre
Gò Công,Tiền Giang
Gò Công Đông,Tiền Giang
Gò Công Tây,Tiền Giang
Gò Dầu,Tây Ninh
Gò Quao,Kiên Giang
Gò Vấp,Thành phố Hồ Chí Minh
Hà Đông,Hà Nội
Hà Giang (thành phố),Hà Giang
Hà Quảng,Cao Bằng
Hà Tiên,Kiên Giang
Hà Tĩnh (thành phố),Hà Tĩnh
Hà Trung,Thanh Hóa
Hạ Hòa,Phú Thọ
Hạ Lang,Cao Bằng
Hạ Long,Quảng Ninh
Hai Bà Trưng (quận),Hà Nội
Hải An,Hải Phòng
Hải Châu,Đà Nẵng
Hải Dương (thành phố),Hải Dương
Hải Hà,Quảng Ninh
Hải Hậu,Nam Định
Hải Lăng,Quảng Trị
Hàm Tân,Bình Thuận
Hàm Thuận Bắc,Bình Thuận
Hàm Thuận Nam,Bình Thuận
Hàm Yên,Tuyên Quang
Hậu Lộc,Thanh Hóa
Hiệp Đức,Quảng Nam
Hiệp Hòa (huyện),Bắc Giang
Hoa Lư (huyện),Ninh Bình
Hòa An,Cao Bằng
Hòa Bình (huyện),Bạc Liêu
Hòa Bình (thành phố),Hòa Bình
Hòa Thành,Tây Ninh
Hòa Vang,Đà Nẵng
Hoài Ân,Bình Định
Hoài Đức,Hà Nội
Hoài Nhơn,Bình Định
Hoàn Kiếm,Hà Nội
Hoàng Mai (quận),Hà Nội
Hoàng Mai (thị xã),Nghệ An
Hoàng Sa (huyện),Đà Nẵng
Hoàng Su Phì,Hà Giang
Hoằng Hóa,Thanh Hóa
Hóc Môn,Thành phố Hồ Chí Minh
Hòn Đất,Kiên Giang
Hớn Quản,Bình Phước
Hội An,Quảng Nam
Hồng Bàng (quận),Hải Phòng
Hồng Dân,Bạc Liêu
Hồng Lĩnh,Hà Tĩnh
Hồng Ngự (huyện),Đồng Tháp
Hồng Ngự (thành phố),Đồng Tháp
Huế,Thừa Thiên-Huế
Hưng Hà,Thái Bình
Hưng Nguyên,Nghệ An
Hưng Yên (thành phố),Hưng Yên
Hương Khê,Hà Tĩnh
Hương Sơn,Hà Tĩnh
Hương Thủy,Thừa Thiên-Huế
Hương Trà,Thừa Thiên-Huế
Hướng Hóa,Quảng Trị
Hữu Lũng,Lạng Sơn
Ia Grai,Gia Lai
Ia H'Drai,Kon Tum
Ia Pa,Gia Lai
K'Bang,Gia Lai
Kế Sách,Sóc Trăng
Khánh Sơn,Khánh Hòa
Khánh Vĩnh,Khánh Hòa
Khoái Châu,Hưng Yên
Kiên Hải,Kiên Giang
Kiên Lương,Kiên Giang
Kiến An,Hải Phòng
Kiến Thụy,Hải Phòng
Kiến Xương,Thái Bình
Kiến Tường,Long An
Kim Bảng,Hà Nam
Kim Bôi,Hòa Bình
Kim Động,Hưng Yên
